JobTitle__lightlycleaned,RoleMultichoice_composite,TimeWorked,TimeDataPrep,TimeDataAnalysis,TimeIdeating,TimeProducingViz,TimeOtherVizTasks,OtherVizTasks__,altID
product analyst,Analyst,40–49 hours,6–10 hours,11–20 hours,6–10 hours,6–10 hours,,,1080
Creative Scientific Solutions,"Leadership (Manager, Director, VP, etc.)",40–49 hours,None,None,5 hours or less,5 hours or less,5 hours or less,,1081
Data Analyst / Developer,None of these describes my role,40–49 hours,6–10 hours,6–10 hours,None,5 hours or less,5 hours or less,,1082
Highway safety analyst,Analyst,40–49 hours,6–10 hours,21–30 hours,None,5 hours or less,None,,1083
Expert- Evidence & Analytics,Analyst,40–49 hours,5 hours or less,None,5 hours or less,5 hours or less,None,,1084
Collection Maintenance Librarian,None of these describes my role,40–49 hours,5 hours or less,5 hours or less,None,11–20 hours,None,,1085
Senior Data Analyst,Analyst,40–49 hours,5 hours or less,11–20 hours,5 hours or less,5 hours or less,5 hours or less,,1086
Research Programmer,Developer,40–49 hours,6–10 hours,5 hours or less,None,5 hours or less,None,,1087
GIS Analyst,Cartographer,40–49 hours,5 hours or less,6–10 hours,None,5 hours or less,None,,1088
Research and data analyst,Analyst,40–49 hours,6–10 hours,6–10 hours,5 hours or less,11–20 hours,None,,1089
Business Intelligence Developer,Analyst,40–49 hours,5 hours or less,5 hours or less,5 hours or less,21–30 hours,5 hours or less,,1090
Biostatistics Manager,Analyst,40–49 hours,5 hours or less,21–30 hours,5 hours or less,5 hours or less,None,,1091
Data Scientist,Scientist,40–49 hours,6–10 hours,6–10 hours,5 hours or less,6–10 hours,None,,1092
Geospatial Analyst,Analyst,40–49 hours,6–10 hours,21–30 hours,None,6–10 hours,None,,1093
Senior Front End Engineer,Engineer,40–49 hours,5 hours or less,None,6–10 hours,5 hours or less,None,,1094
Data Analyst,Analyst,40–49 hours,6–10 hours,6–10 hours,6–10 hours,11–20 hours,,,1095
Financial Analyst,Analyst,40–49 hours,11–20 hours,6–10 hours,5 hours or less,5 hours or less,,,1096
Data Scientist,Scientist,40–49 hours,11–20 hours,11–20 hours,5 hours or less,6–10 hours,None,,1097
"University Library, Head of Resources and Analytics",Analyst,40–49 hours,6–10 hours,5 hours or less,None,None,None,,1098
Senior Director,"Leadership (Manager, Director, VP, etc.)",40–49 hours,5 hours or less,11–20 hours,None,6–10 hours,21–30 hours,,1099
Data Scientist,Scientist,40–49 hours,5 hours or less,6–10 hours,6–10 hours,5 hours or less,5 hours or less,,1100
Senior UX Design Consultant,Designer,40–49 hours,None,None,11–20 hours,11–20 hours,,,1101
Data Analyst,Analyst,40–49 hours,5 hours or less,5 hours or less,None,5 hours or less,None,,1102
"Senior Director, Research & Insights","Leadership (Manager, Director, VP, etc.)",40–49 hours,5 hours or less,6–10 hours,5 hours or less,5 hours or less,None,,1103
Business intelligence engineer,Engineer,40–49 hours,5 hours or less,21–30 hours,5 hours or less,6–10 hours,None,,1104
"Team Lead, Engineering",Developer,40–49 hours,5 hours or less,None,5 hours or less,11–20 hours,None,,1105
Senior Software Developer,Developer,40–49 hours,6–10 hours,6–10 hours,5 hours or less,11–20 hours,None,,1106
Tech lead,Engineer,40–49 hours,6–10 hours,6–10 hours,5 hours or less,5 hours or less,None,,1107
Senior Business Intelligence Systems Analyst,Analyst,40–49 hours,11–20 hours,11–20 hours,5 hours or less,5 hours or less,None,,1108
Graduate Research Assistant,Scientist,40–49 hours,5 hours or less,6–10 hours,None,6–10 hours,None,,1109
Analytics Manager,"Leadership (Manager, Director, VP, etc.)",40–49 hours,5 hours or less,5 hours or less,None,5 hours or less,,,1110
Graphics Fellow,Journalist,40–49 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,,1111
Health data specialist,Analyst,40–49 hours,11–20 hours,21–30 hours,21–30 hours,21–30 hours,21–30 hours,,1112
Staff Scientist,Scientist,40–49 hours,11–20 hours,11–20 hours,,11–20 hours,,,1113
Data analyst,Analyst,40–49 hours,5 hours or less,11–20 hours,5 hours or less,6–10 hours,5 hours or less,,1114
Data Analytics Manager,"Leadership (Manager, Director, VP, etc.)",40–49 hours,11–20 hours,11–20 hours,5 hours or less,5 hours or less,,,1115
Healthcare Management Senior Consultant,Analyst,40–49 hours,None,6–10 hours,5 hours or less,6–10 hours,None,,1116
Research Scientist,Scientist,40–49 hours,6–10 hours,6–10 hours,5 hours or less,6–10 hours,None,,1117
Data Manager,Analyst,40–49 hours,6–10 hours,11–20 hours,5 hours or less,6–10 hours,5 hours or less,,1118
Talent Management Analyst,Analyst,40–49 hours,11–20 hours,6–10 hours,5 hours or less,6–10 hours,6–10 hours,,1119
Senior Data Scientist,Scientist,40–49 hours,11–20 hours,6–10 hours,5 hours or less,None,None,,1120
Program Manager,Analyst,40–49 hours,6–10 hours,11–20 hours,None,6–10 hours,None,,1121
Digital strategy and optimization lead,"Leadership (Manager, Director, VP, etc.)",40–49 hours,None,5 hours or less,5 hours or less,5 hours or less,None,,1122
Designer,Journalist,40–49 hours,5 hours or less,5 hours or less,6–10 hours,6–10 hours,11–20 hours,,1123
Lead Analyst,Analyst,40–49 hours,5 hours or less,5 hours or less,None,None,None,,1124
Principal Analyst,Analyst,40–49 hours,5 hours or less,6–10 hours,5 hours or less,5 hours or less,5 hours or less,,1125
BI Reporting Specialist,Analyst,40–49 hours,None,5 hours or less,5 hours or less,11–20 hours,None,,1126
Tech Lead,"Leadership (Manager, Director, VP, etc.)",40–49 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,None,,1127
Product expert,,40–49 hours,5 hours or less,None,5 hours or less,6–10 hours,None,,1128
Business Analytics Manager,Analyst,40–49 hours,11–20 hours,6–10 hours,5 hours or less,5 hours or less,None,,1129
Data curator,Analyst,40–49 hours,6–10 hours,5 hours or less,5 hours or less,6–10 hours,,,1130
Head of Data & Analytics,"Leadership (Manager, Director, VP, etc.)",40–49 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,None,,1131
Director of Data & Technology,"Leadership (Manager, Director, VP, etc.)",40–49 hours,6–10 hours,5 hours or less,None,5 hours or less,None,,1132
Director of analytics,"Leadership (Manager, Director, VP, etc.)",40–49 hours,11–20 hours,6–10 hours,5 hours or less,6–10 hours,None,,1133
Systems Engineer,Engineer,40–49 hours,11–20 hours,11–20 hours,5 hours or less,11–20 hours,,,1134
Software engineer,Engineer,40–49 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,,,1135
Evaluation Manager,None of these describes my role,40–49 hours,5 hours or less,6–10 hours,None,6–10 hours,None,,1136
Business Intelligence Principal,Designer,40–49 hours,11–20 hours,6–10 hours,6–10 hours,5 hours or less,None,,1137
Data Specialist,Analyst,40–49 hours,21–30 hours,5 hours or less,None,11–20 hours,5 hours or less,,1138
Data Visualization Developer,Developer,40–49 hours,11–20 hours,5 hours or less,5 hours or less,11–20 hours,,,1139
Enrollment Management Business Intelligence Analyst,Analyst,40–49 hours,21–30 hours,5 hours or less,5 hours or less,6–10 hours,5 hours or less,,1140
research analyst,Analyst,40–49 hours,21–30 hours,None,5 hours or less,6–10 hours,None,,1141
Assistant Director,Analyst,40–49 hours,5 hours or less,None,None,5 hours or less,,,1142
Solution Architect,Analyst,40–49 hours,11–20 hours,5 hours or less,5 hours or less,11–20 hours,5 hours or less,,1143
Financial Analyst,Analyst,40–49 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,None,,1144
Senior analyst,Analyst,40–49 hours,5 hours or less,21–30 hours,5 hours or less,6–10 hours,None,,1145
Analytics manager,"Leadership (Manager, Director, VP, etc.)",40–49 hours,5 hours or less,6–10 hours,6–10 hours,5 hours or less,,,1146
Research and Evaluation Analyst,Analyst,40–49 hours,6–10 hours,5 hours or less,None,None,None,,1147
Senior Director Research,Scientist,40–49 hours,5 hours or less,5 hours or less,11–20 hours,None,None,,1148
Reporting & Analytics Specialist,Analyst,40–49 hours,21–30 hours,6–10 hours,5 hours or less,5 hours or less,,,1149
Analyst,Analyst,40–49 hours,5 hours or less,6–10 hours,11–20 hours,6–10 hours,5 hours or less,,1150
Manager of Reporting and Analytics,Analyst,40–49 hours,5 hours or less,11–20 hours,None,11–20 hours,None,,1151
Creative Strategist,Analyst,40–49 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,None,,1152
Youth Justice Data Storyteller,Developer,40–49 hours,6–10 hours,5 hours or less,6–10 hours,11–20 hours,None,,1153
Lead Industry Economist,Analyst,40–49 hours,6–10 hours,5 hours or less,6–10 hours,11–20 hours,None,,1154
Business analyst,Analyst,40–49 hours,5 hours or less,6–10 hours,5 hours or less,6–10 hours,None,,1155
Research Coordinator,Analyst,40–49 hours,21–30 hours,6–10 hours,11–20 hours,5 hours or less,None,,1156
Business Intelligence Analyst,Analyst,40–49 hours,11–20 hours,5 hours or less,5 hours or less,11–20 hours,6–10 hours,,1157
Lead Data Analyst,Analyst,40–49 hours,5 hours or less,11–20 hours,5 hours or less,5 hours or less,None,,1158
BI Developer,Developer,40–49 hours,11–20 hours,6–10 hours,5 hours or less,11–20 hours,6–10 hours,,1159
Manager of Business Intelligence,"Leadership (Manager, Director, VP, etc.)",40–49 hours,6–10 hours,11–20 hours,5 hours or less,6–10 hours,,,1160
Visual Editor,Journalist,40–49 hours,6–10 hours,5 hours or less,6–10 hours,11–20 hours,,,1161
UX Designer,Designer,40–49 hours,5 hours or less,5 hours or less,None,5 hours or less,None,,1162
Graphics Reporter,Journalist,40–49 hours,5 hours or less,None,5 hours or less,6–10 hours,,,1163
Ux designer,Designer,40–49 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,None,,1164
Data Analyst,Analyst,40–49 hours,11–20 hours,11–20 hours,5 hours or less,5 hours or less,None,,1165
BI Engineer,Engineer,40–49 hours,11–20 hours,21–30 hours,5 hours or less,6–10 hours,None,,1166
Researcher,None of these describes my role,40–49 hours,6–10 hours,21–30 hours,More than 30 hours,More than 30 hours,11–20 hours,,1167
Director of FP &A,"Leadership (Manager, Director, VP, etc.)",40–49 hours,6–10 hours,6–10 hours,6–10 hours,6–10 hours,6–10 hours,,1168
Sr. Healthcare Analyst,Analyst,40–49 hours,11–20 hours,6–10 hours,5 hours or less,5 hours or less,None,,1169
Bi,Scientist,40–49 hours,11–20 hours,11–20 hours,6–10 hours,5 hours or less,None,,1170
Data Design Lead,Designer,40–49 hours,5 hours or less,6–10 hours,11–20 hours,11–20 hours,None,,1171
Graphic designer,Designer,40–49 hours,None,5 hours or less,None,None,None,,1172
Senior Research & Evaluation Specialist,Analyst,40–49 hours,11–20 hours,6–10 hours,None,5 hours or less,None,,1173
Commercial Advisor,Analyst,40–49 hours,11–20 hours,11–20 hours,6–10 hours,6–10 hours,6–10 hours,,1174
Reporting Analyst,Analyst,40–49 hours,6–10 hours,5 hours or less,None,11–20 hours,None,,1175
Senior Data Analyst,Analyst,40–49 hours,5 hours or less,5 hours or less,None,6–10 hours,5 hours or less,,1176
Epidemiologist,Analyst,40–49 hours,6–10 hours,5 hours or less,None,6–10 hours,None,,1177
Head of Corporate Data and Statistics,Analyst,40–49 hours,5 hours or less,5 hours or less,5 hours or less,None,None,,1178
Data Visualization Engineer,Engineer,40–49 hours,,,6–10 hours,6–10 hours,6–10 hours,,1179
Business Intelligence Analyst,Developer,40–49 hours,11–20 hours,6–10 hours,5 hours or less,6–10 hours,None,,1180
Analytics director,"Leadership (Manager, Director, VP, etc.)",40–49 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,None,,1181
Analytics Consultant,Designer,40–49 hours,5 hours or less,5 hours or less,6–10 hours,21–30 hours,None,,1182
Interactive Data Journalist,Journalist,40–49 hours,11–20 hours,5 hours or less,5 hours or less,11–20 hours,,,1183
Director,"Leadership (Manager, Director, VP, etc.)",40–49 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,None,,1184
Senior Research & Assessment Analyst,Analyst,40–49 hours,5 hours or less,None,5 hours or less,6–10 hours,None,,1185
Supervisor,"Leadership (Manager, Director, VP, etc.)",40–49 hours,11–20 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,,1186
Data and Evaluation Manager,Analyst,40–49 hours,6–10 hours,5 hours or less,None,5 hours or less,None,,1187
Research Analyst,Analyst,40–49 hours,5 hours or less,5 hours or less,None,5 hours or less,None,,1188
Product Development Specialist,Analyst,40–49 hours,5 hours or less,11–20 hours,11–20 hours,5 hours or less,None,,1189
Visual editor,Journalist,40–49 hours,6–10 hours,6–10 hours,5 hours or less,11–20 hours,None,,1190
Researcher,Analyst,40–49 hours,None,None,5 hours or less,6–10 hours,,,1191
Director of Organizational Analytics and Assessment,"Leadership (Manager, Director, VP, etc.)",40–49 hours,6–10 hours,5 hours or less,None,5 hours or less,None,,1192
Epidemiologist,Analyst,40–49 hours,5 hours or less,5 hours or less,6–10 hours,6–10 hours,6–10 hours,,1193
Data analyst,Developer,40–49 hours,5 hours or less,6–10 hours,5 hours or less,5 hours or less,None,,1194
Director of Research and Evaluation,"Leadership (Manager, Director, VP, etc.)",40–49 hours,5 hours or less,5 hours or less,5 hours or less,11–20 hours,None,,1195
National Projects Manager,"Leadership (Manager, Director, VP, etc.)",40–49 hours,None,None,None,5 hours or less,5 hours or less,,1196
Senior Data Visualization Consultant,Developer,40–49 hours,5 hours or less,6–10 hours,5 hours or less,21–30 hours,5 hours or less,,1197
Transport planner,Analyst,40–49 hours,6–10 hours,5 hours or less,None,5 hours or less,None,,1198
Data Lead,"Leadership (Manager, Director, VP, etc.)",40–49 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,None,,1199
Data editor,Journalist,40–49 hours,5 hours or less,5 hours or less,6–10 hours,6–10 hours,6–10 hours,,1200
Impact Leader,"Leadership (Manager, Director, VP, etc.)",40–49 hours,5 hours or less,5 hours or less,None,5 hours or less,5 hours or less,,1201
Auditor,Analyst,40–49 hours,6–10 hours,None,11–20 hours,6–10 hours,6–10 hours,,1202
Data Analyst,Analyst,40–49 hours,6–10 hours,5 hours or less,5 hours or less,6–10 hours,5 hours or less,,1203
Business Intelligence Specialist,Analyst,40–49 hours,6–10 hours,5 hours or less,5 hours or less,6–10 hours,None,,1204
"Data Analyst, BI & Reporting",Analyst,40–49 hours,11–20 hours,6–10 hours,11–20 hours,6–10 hours,,,1205
Senior Data Manager,Scientist,40–49 hours,5 hours or less,6–10 hours,None,5 hours or less,None,,1206
Senior Manager Analytics,Analyst,40–49 hours,6–10 hours,6–10 hours,6–10 hours,6–10 hours,6–10 hours,,1207
